ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
3387,variable,NTR-BAR-SKIN40,,Nuttrio Immunity Bar,1,1,visible,,,taxable,,1,,,0,0,0.25,8,6,15,1,,,,Functional Bar,"Ayurvedic, Energy, Healthy Snack, Herbal Bar, Immunity, Nutrition Bar, Wellness",,,,,,,,,,0,Nuttrio,Pack Size,"Pack of 3, Pack of 6",1,1,Pack of 6,Each Bar Weight,40 Grams,1,1
3391,variable,NTR-BAR-SHE40,,Nuttrio SheCare Bar,1,1,visible,,,taxable,,1,,,0,0,,,,,1,,,,Functional Bar,,,,,,,,,,,0,Nuttrio,Pack Size,"Pack of 3, Pack of 6",1,1,Pack of 6,Each Bar Weight,40 Grams,1,1
3395,variable,NTR-BAR-STAM40,,Nuttrio Stamina Bar,1,1,visible,,,taxable,,1,,,0,0,,,,,1,,,,Functional Bar,"Ashwagandha, Ayurvedic Bar, Ayurvedic Nutrition, Endurance, Energy Bar, Fitness Nutrition, Healthy Snack, Herbal Bar, Natural Energy, Nuttrio Bar, Post Workout Snack, Pre Workout Snack, Protein Bar, Recovery, Shatavari, Shilajit, Stamina Bar, Wellness Bar",,,,,,,,,,0,Nuttrio,Pack Size,"Pack of 3, Pack of 6",1,1,Pack of 6,Each Bar Weight,40 Grams,1,1
3399,variable,NTR-BAR-SKN40,,Nuttrio Skincare Bar,1,0,visible,,,taxable,,1,,,0,0,,,,,1,,,,Functional Bar,"Antioxidant Rich, Ayurvedic Bar, Ayurvedic Nutrition, Ayurvedic Wellness, Beauty Bar, Clean Nutrition, Glowing Skin, Healthy Snack, Herbal Bar, Natural Glow, Nuttrio Bar, Plant Based, Radiance, Skin Health, Skin Nourishment, Skincare Bar, Vitamin Rich, Wellness Snack",,,,,,,,,,0,Nuttrio,Pack Size,"Pack of 3, Pack of 6",1,1,Pack of 6,Each Bar Weight,40 Grams,1,1
3403,variable,NTR-BAR-ENE40,,Nuttrio Energy Bar,1,1,visible,,,taxable,,1,,,0,0,,,,,1,,,,Functional Bar,"Adaptogen Bar, Ashwagandha, Ayurvedic Bar, Ayurvedic Nutrition, Clean Nutrition, Daily Energy, Energy Bar, Fitness Snack, Healthy Snack, Herbal Bar, Immunity Support, Natural Energy, Nuttrio Bar, On The Go Nutrition, Stress Relief, Tulsi, Vitality, Wellness Snack, Yashtimadhu",,,,,,,,,,0,Nuttrio,Pack Size,"Pack of 3, Pack of 6",1,1,Pack of 6,Each Bar Weight,40 Grams,1,1
3407,variable,NTR-BAR-MEM40,,Nuttrio Memory Bar,1,1,visible,,,taxable,,1,,,0,0,,,,,1,,,,Functional Bar,"Ashwagandha, Ayurvedic Bar, Ayurvedic Nutrition, Brahmi, Brain Health, Concentration, Focus Bar, Healthy Snack, Herbal Bar, Memory Bar, Mental Clarity, Mind Wellness, Nootropic Bar, Nuttrio Bar, Omega Rich, Protein Bar, Stress Relief, Study Snack, Wellness Snack",,,,,,,,,,0,Nuttrio,Pack Size,"Pack of 3, Pack of 6",1,1,Pack of 6,Each Bar Weight,40 Grams,1,1
3705,variation,NTR-BAR-6SKIN40,,Nuttrio Immunity Bar - Pack of 6,1,0,visible,,,taxable,,1,,,0,0,0.25,9.5,6,15,0,,499,599,,,,,,NTR-BAR-SKIN40,,,,,,2,,Pack Size,Pack of 6,,1,,,,,
3704,variation,NTR-BAR-3SKIN40,,Nuttrio Immunity Bar - Pack of 3,1,0,visible,,,taxable,,1,,,0,0,0.15,6,5,15,0,,260,280,,,,,,NTR-BAR-SKIN40,,,,,,1,,Pack Size,Pack of 3,,1,,,,,
3711,variation,NTR-BAR-6SHE40,,Nuttrio SheCare Bar - Pack of 6,1,0,visible,,,taxable,,1,,,0,0,0.25,9.5,6,15,0,,499,599,,,,,,NTR-BAR-SHE40,,,,,,2,,Pack Size,Pack of 6,,1,,,,,
3710,variation,NTR-BAR-3SHE40,,Nuttrio SheCare Bar - Pack of 3,1,0,visible,,,taxable,,1,,,0,0,0.15,6,5,15,0,,260,280,,,,,,NTR-BAR-SHE40,,,,,,1,,Pack Size,Pack of 3,,1,,,,,
